[01]  기사의 캠프부터 하늘을 달리는 기차까지 아스트라를 활용했다고 소개된 작품 8가지 같이 구경해볼까요?

[02]  첫 번째는 모닥불 옆에서 지내는 기사의 작은 캠프입니다. 장작을 넣고 검술을 연습하고 고기를 구워 먹습니다. 피곤하면 누워서 잠도 자네요. 전투만 하는 기사가 아니라 쉬는 시간까지 만들어 놓았습니다.

[03]  이번에는 하늘을 달리는 기차 게임입니다. 떠있는 섬 사이를 여행하고 역에 도착하면 승객을 태웁니다. 차고에서는 기차도 직접 꾸밀 수 있네요. 기차를 운전해야 하는데 풍경부터 구경하고 싶어집니다.

[04]  이번 작품은 나만의 방을 꾸미고 돌아다니는 가상 공간입니다. 책상과 의자를 놓고 색을 바꾼 다음 직접 공간 안으로 들어가 볼 수 있습니다. 밖으로 나오면 낚시도 하네요. 방 꾸미러 왔다가 물고기까지 잡고 갑니다.

[05]  여기에는 한 제작자가 만든 작품 4개가 모여 있습니다. 주민들이 돌아다니는 운하마을, 전선에 닿지 않게 고리를 움직이는 게임, 요리사를 피해 달아나는 추격전도 있고, 직접 조립한 탈 것으로 경사로를 달리는 게임도 있습니다. 조용한 마을 구경부터 아슬아슬한 장애물 피하기까지 분위기가 전부 다르네요.

[06]  이번에는 작은 캐릭터의 모습을 다듬는 작업입니다. 옷과 머리카락의 색을 정리하고 앞뒤로 돌려가며 어색한 부분을 살펴봅니다. 아직 손볼 곳은 있지만 캐릭터를 조금씩 완성해가는 모습이 보이네요.

[07]  여기서는 젠레스존 제로 같은 느낌으로 캐릭터의 색과 그림자를 표현했습니다 캐릭터 자체를 새로 만든 것이 아니라 게임 속에서 어떻게 보일지를 작업한 사례입니다 얼굴과 옷을 가까이 보여주니 만화 같은 색감이 눈에 들어오네요

[08]  같은 제작자가 이번에는 엔드필드 느낌의 캐릭터 표현도 선보였습니다. 머리카락과 옷의 색, 그림자를 보여주고 캐릭터를 돌려가며 여러 각도에서 살펴봅니다. 같은 입체 캐릭터라도 어떤 색감으로 보여주느냐에 따라 느낌이 달라지네요.

[09]  마지막은 자동차를 타고 돌아다니는 도시입니다. 바닷가 도로를 달리고 차에서 내려 거리를 걷고 총을 쏘는 장면도 보여줍니다. 건물과 자동차, 사람까지 한 화면에 모이니 작은 장면보다는 게임 속 동네 하나를 구경하는 느낌입니다. 다음 골목에는 뭐가 있을지 궁금해지네요.

[10]  작은 캠프부터 도시까지 정말 다양하죠? 여러분은 어떤 작품을 직접 해보고 싶으신가요? 댓글로 알려주세요.
