section,start,end,visual,source,status
scene01-broll,00:00:00.000,00:00:06.500,Super Mario Bros. 이동과 점프,Gameplay Project CC BY,ready
scene02-broll,00:00:21.533,00:00:28.033,Street Fighter 6 빠른 격투 동작,Street Fighter official,ready
scene03-broll,00:00:38.333,00:00:44.833,Street Fighter II 프레임 타이밍,Sporefrog08 short quotation,ready
scene04-broll,00:00:59.033,00:01:05.533,Forza Horizon 5 동일 원본 30/60 비교,Xbox official,ready
scene05-broll,00:01:19.267,00:01:25.767,Ratchet & Clank 복잡한 렌더링,PlayStation official,ready
scene06-broll,00:01:40.400,00:01:46.900,Overwatch 2 변동 FPS 카운터,NVIDIA GeForce official,ready
scene07-broll,00:01:57.433,00:02:03.933,Celeste 이동과 대시,UltraPita CC BY,ready
scene08-broll,00:02:23.933,00:02:30.433,Overwatch 60·144·360 비교,NVIDIA GeForce official,ready
scene09-broll,00:02:43.767,00:02:50.267,Sonic PAL 50Hz와 NTSC 60Hz,redhotsonic short quotation,ready
scene10-broll,00:03:05.367,00:03:11.867,Horizon Forbidden West PS5 그래픽,PlayStation official,ready
scene11-broll,00:03:28.633,00:03:35.133,Alan Wake 2 Full Ray Tracing,NVIDIA GeForce official,ready
scene12-broll,00:03:44.400,00:03:50.900,Black Myth Wukong RTX 50,NVIDIA GeForce official,ready
scene13-broll,00:04:03.433,00:04:09.933,Minecraft RTX on/off,NVIDIA GeForce official,ready
scene14-broll,00:04:20.000,00:04:26.500,Horizon DLSS Super Resolution,NVIDIA GeForce official,ready
scene15-broll,00:04:48.400,00:04:54.900,Cyberpunk Frame Generation,NVIDIA GeForce official,ready
scene16-broll,00:05:16.967,00:05:23.467,Star Wars Outlaws Multi Frame Generation,NVIDIA GeForce official,ready
scene17-broll,00:05:44.000,00:05:50.500,Black Myth 렌더·표시 FPS,NVIDIA GeForce official,ready
scene18-broll,00:06:00.867,00:06:07.367,Counter-Strike 2 시스템 지연,NVIDIA GeForce official,ready
scene19-broll,00:06:30.733,00:06:37.233,Street Fighter II와 Alan Wake 2 좌우 비교,composite summary,ready
scene20-broll,00:06:47.933,00:06:54.433,격투·슈팅·콘솔·MFG 4분할 총정리,composite summary,ready
