clip,start_seconds,end_seconds,duration_seconds,start_timecode,end_timecode,segment,label,hint
intro-montage,9.000,22.000,13.000,0:09.000,0:22.000,"도입 — 점프가 결정하는 것","여러 게임의 점프 비교","서로 다른 게임 2~3개의 점프를 빠르게 이어붙인 몽타주"
axes-horizontal,90.533,98.533,8.000,1:30.533,1:38.533,"가로 이동(X축)과 설계 목표","가로 이동 비교 플레이","같은 점프에서 가로 속도만 다른 두 플레이를 나란히"
mario,112.933,121.933,9.000,1:52.933,2:01.933,"슈퍼 마리오브라더스","슈퍼 마리오브라더스","느린 상승과 빠른 하강이 드러나는 점프. 버튼 길이에 따른 높이 차이도"
metroid,134.033,142.033,8.000,2:14.033,2:22.033,"메트로이드","메트로이드","둥실둥실한 체공과 공중에서 높이를 조절해 쏘는 장면"
ghosts,153.967,162.967,9.000,2:33.967,2:42.967,"마계촌","마계촌","점프 직후 착지 지점이 이미 정해진 장면. 실패/성공 한 번씩"
sf2,177.867,186.867,9.000,2:57.867,3:06.867,"스트리트 파이터 II — 장기에프","스트리트 파이터 II — 장기에프","스크류 파일드라이버의 상승/하강 속도 차. 슬로 모션 권장"
smash-squat,202.233,211.233,9.000,3:22.233,3:31.233,"스매시브라더스 — 점프 스쿼트","스매시브라더스 — 점프 스쿼트","점프 직전 준비 프레임을 프레임 스텝으로. 위 스매시 입력과 대비"
smash-ultimate,229.100,239.100,10.000,3:49.100,3:59.100,"스매시브라더스 얼티밋 — 초기 가속","스매시브라더스 얼티밋","초반에 확 뜨고 곧바로 감속하는 점프를 실제 플레이로"
jump-king,262.667,272.667,10.000,4:22.667,4:32.667,"점프킹 — 차지 후 발사","점프킹","차지 게이지가 차오르다 발사되는 순간, 공중에서 전혀 수정 못 하는 장면"
celeste,289.000,298.000,9.000,4:49.000,4:58.000,"셀레스트 — 홀드 길이로 조절","셀레스트","오래 눌러 최대 높이까지 가는 점프와, 일찍 떼서 짧아지는 점프를 나란히"
megaman-x,318.100,327.100,9.000,5:18.100,5:27.100,"록맨 X — 대시 점프","록맨 X — 대시 점프","걷기 점프와 대시 점프의 이동 거리 차이가 드러나는 장면"
outro-prototype,345.167,355.167,10.000,5:45.167,5:55.167,"결론 — 정답은 없다","직접 만든 프로토타입","파라미터 슬라이더를 바꿔가며 점프 감각이 달라지는 화면"
