section,start,end,visual,source_footage_seconds
intro_montage,00:09.000,00:22.000,"서로 다른 게임 2~3개의 점프를 빠르게 이어붙인 몽타주",13
axes_horizontal,01:30.533,01:38.533,"같은 점프에서 가로 속도만 다른 두 플레이를 나란히",8
mario,01:52.933,02:01.933,"느린 상승과 빠른 하강이 드러나는 점프. 버튼 길이에 따른 높이 차이도",9
metroid,02:14.033,02:22.033,"둥실둥실한 체공과 공중에서 높이를 조절해 쏘는 장면",8
ghosts,02:33.967,02:42.967,"점프 직후 착지 지점이 이미 정해진 장면. 실패/성공 한 번씩",9
sf2,02:57.867,03:06.867,"스크류 파일드라이버의 상승/하강 속도 차. 슬로 모션 권장",9
smash_squat,03:22.233,03:31.233,"점프 직전 준비 프레임을 프레임 스텝으로. 위 스매시 입력과 대비",9
smash_ultimate,03:49.100,03:59.100,"초반에 확 뜨고 곧바로 감속하는 점프를 실제 플레이로",10
jump_king,04:22.667,04:32.667,"차지 게이지가 차오르다 발사되는 순간, 공중에서 전혀 수정 못 하는 장면",10
celeste,04:49.000,04:58.000,"오래 눌러 최대 높이까지 가는 점프와, 일찍 떼서 짧아지는 점프를 나란히",9
megaman_x,05:18.100,05:27.100,"걷기 점프와 대시 점프의 이동 거리 차이가 드러나는 장면",9
outro_prototype,05:45.167,05:55.167,"파라미터 슬라이더를 바꿔가며 점프 감각이 달라지는 화면",10
