"scene","start","end","segment_type","visual","source","source_audio","bgm","narration","status"
"01","00:00.000","00:08.000","channel-summary","아스트라로 만든 작품 8가지","original","none","Discovery-continuous","to 00:07.320","human-full-review-pending"
"02","00:08.000","00:34.000","real-example","모닥불 옆 기사의 하루","01","normalized--31-LUFS-plus-ducking","Discovery-continuous","from 00:08.000 to 00:21.100","local-narrated-review-rights-pending"
"03","00:34.000","01:05.000","real-example","하늘을 달리는 기차","07","normalized--31-LUFS-plus-ducking","Discovery-continuous","from 00:34.000 to 00:46.860","local-narrated-review-rights-pending"
"04","01:05.000","01:32.000","real-example","내 방을 꾸미고 낚시까지","08","normalized--31-LUFS-plus-ducking","Discovery-continuous","from 01:05.000 to 01:18.420","local-narrated-review-rights-pending"
"05","01:32.000","02:12.000","real-example","한 사람이 만든 네 가지 작품","03","normalized--31-LUFS-plus-ducking","Discovery-continuous","from 01:32.000 to 01:51.040","local-narrated-review-rights-pending"
"06","02:12.000","02:31.500","real-example","캐릭터를 더 예쁘게 다듬기","02","silent-source-bgm-fallback","Discovery-continuous","from 02:12.000 to 02:24.460","local-narrated-review-rights-pending"
"07","02:31.500","02:55.500","real-example","만화 같은 캐릭터 표현","05","silent-source-bgm-fallback","Discovery-continuous","from 02:31.500 to 02:44.880","local-narrated-review-rights-pending"
"08","02:55.500","03:19.500","real-example","다른 게임의 그림체도","06","silent-source-bgm-fallback","Discovery-continuous","from 02:55.500 to 03:10.680","local-narrated-review-rights-pending"
"09","03:19.500","03:49.500","real-example","차를 타고 돌아다니는 도시","04","normalized--31-LUFS-plus-ducking","Discovery-continuous","from 03:19.500 to 03:36.780","local-narrated-review-rights-pending"
"10","03:49.500","03:58.500","channel-summary","댓글로 알려주세요","original","none","Discovery-continuous","to 03:57.080","human-full-review-pending"
