"scene","start","end","segment_type","visual","source","narration","source_audio","bgm","status"
"01","00:00.000","00:19.500","real-example","The Godot Game Engine Explained in 5 Minutes","https://www.youtube.com/watch?v=KjX5llYZ5eQ @ 67s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"01","00:19.500","01:07.200","channel-explanation","공부하러 앉았는데, 진로부터 다시 고민","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"01","00:19.500","00:21.500","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
"02","01:07.200","01:26.700","real-example","Prototyping an Indie Game with Godot: Two Days working on Hook!","https://www.youtube.com/watch?v=mturL8WaHjY @ 614s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"02","01:26.700","02:18.167","channel-explanation","회사에서는 다 알고 있을까?","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"02","01:26.700","01:28.700","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
"03","02:18.167","02:37.667","real-example","Debugging and Troubleshooting Python Applications — Neeraj Pandey, PyCon APAC 2023","https://www.youtube.com/watch?v=DvXcE2oa_Jc @ 580s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"03","02:37.667","03:37.667","channel-explanation","고쳐 달랬더니, 다른 데가 고장 났다","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"03","02:37.667","02:39.667","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
"04","03:37.667","03:57.167","real-example","Unlocking the Power of Python's Collections — Italo Carvalho Vianelli Ribeiro, PyCon JP 2024","https://www.youtube.com/watch?v=t6aZyuCEoAo @ 1068s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
