scene,start,end,segment_type,visual,source,source_audio,bgm,status
"01","00:00.000","00:19.500","real-example","The Godot Game Engine Explained in 5 Minutes","https://www.youtube.com/watch?v=KjX5llYZ5eQ @ 67s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"01","00:19.500","01:07.100","channel-explanation","공부하러 앉았는데, 진로부터 다시 고민","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"01","00:19.500","00:21.500","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
"02","01:07.100","01:26.600","real-example","Prototyping an Indie Game with Godot: Two Days working on Hook!","https://www.youtube.com/watch?v=mturL8WaHjY @ 614s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"02","01:26.600","02:15.333","channel-explanation","회사에서는 다 알고 있을까?","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"02","01:26.600","01:28.600","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
"03","02:15.333","02:34.833","real-example","Debugging and Troubleshooting Python Applications — Neeraj Pandey, PyCon APAC 2023","https://www.youtube.com/watch?v=DvXcE2oa_Jc @ 580s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"03","02:34.833","03:19.467","channel-explanation","고쳐 달랬더니, 다른 데가 고장 났다","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"03","02:34.833","02:36.833","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
"04","03:19.467","03:38.967","real-example","Unlocking the Power of Python's Collections — Italo Carvalho Vianelli Ribeiro, PyCon JP 2024","https://www.youtube.com/watch?v=t6aZyuCEoAo @ 1068s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"04","03:38.967","04:28.067","channel-explanation","기초가 중요하다는데, 그걸 언제 다 해요?","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"04","03:38.967","03:40.967","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
"05","04:28.067","04:47.567","real-example","Pythonで実現する堅牢なシステム設計 イミュータブルがもたらす恩恵 — PyCon JP","https://www.youtube.com/watch?v=GZEW9SPf6C8 @ 1258s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"05","04:47.567","05:33.967","channel-explanation","포트폴리오는 멋진데, 왜 이 기술을 썼죠?","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"05","04:47.567","04:49.567","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
"06","05:33.967","05:35.967","real-example","Learn GDScript from Zero with this Free app","https://www.youtube.com/watch?v=ClU1WqQfCZM @ 40s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"06","05:35.967","05:53.467","real-example","Learn GDScript from Zero with this Free app","https://www.youtube.com/watch?v=ClU1WqQfCZM @ 47s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
