scene,narration_start,narration_end,insert_start,insert_end,duration_seconds,source,editor_note
01A,00:00,00:35,00:04,00:12,8,Various games,Title montage with 1 to 2 second jump clips
01B,00:00,00:35,00:16,00:27,11,Platform action fighting games,Compare movement range risk and air control
02,00:35,00:53,00:40,00:50,10,Motion Canvas,Show vertical speed 5 to 4 to 3 to 2
03,00:53,01:09,00:57,01:05,8,Gameplay or animation,Freeze apex then show fall and landing
04,01:09,01:26,01:14,01:23,9,Gameplay or animation,Overlay X and Y axis arrows
05,01:26,01:44,01:31,01:42,11,Super Mario Bros,Slow rise and faster fall in one jump
06,01:44,02:00,01:48,01:58,10,Metroid,Airborne shooting at multiple heights
07,02:00,02:19,02:05,02:16,11,Ghosts n Goblins,Limited air control and committed landing
08,02:19,02:37,02:24,02:34,10,Street Fighter II,Zangief Screw Piledriver ascent and fast descent
09,02:37,02:59,02:43,02:55,12,Super Smash Bros,Jump squat shown with frame counter
10A,02:59,04:00,03:09,03:17,8,Super Smash Bros Ultimate,Strong initial upward velocity
10B,02:59,04:00,03:19,03:27,8,Motion Canvas plus Ultimate,Initial strong gravity then normal gravity graph
10C,02:59,04:00,03:38,03:48,10,Prototype or playtest footage,Show iteration while concluding
