"scene","start","end","segment_type","visual","source","source_audio","bgm","status"
"01","00:00.000","00:19.500","real-example","끝내려는데, 딱 조금이 남았다","O-AHe1o0IDU@80+13.5 / 9pNkPSeCWB8@335+6","game -23 LUFS; commentary -31 LUFS","Wanderlust continuous + overlap -3dB","rendered-human-review-pending"
"01","00:19.500","00:43.600","channel-explanation","끝내려는데, 딱 조금이 남았다","original Motion Canvas animated 2.5D diorama","off","Wanderlust continuous","rendered-human-review-pending"
"02","00:43.600","01:03.100","real-example","Mining/collection and a near-full early toolbar; illustrative, not a claimed inventory-full toast.","9pNkPSeCWB8@480+10 / O-AHe1o0IDU@309+9.5","game -23 LUFS; commentary -31 LUFS","Wanderlust continuous + overlap -3dB","rendered-human-review-pending"
"02","01:03.100","01:28.067","channel-explanation","갖고 싶어야, 보상이다","original Motion Canvas animated 2.5D diorama","off","Wanderlust continuous","rendered-human-review-pending"
"03","01:28.067","01:47.567","real-example","현재값과 목표를 함께 보여주기","O-AHe1o0IDU@154+19.5","game -23 LUFS; commentary -31 LUFS","Wanderlust continuous + overlap -3dB","rendered-human-review-pending"
"03","01:47.567","02:15.200","channel-explanation","현재값과 목표를 함께 보여주기","original Motion Canvas animated 2.5D diorama","off","Wanderlust continuous","rendered-human-review-pending"
"04","02:15.200","02:34.700","real-example","Purchase 24-slot Large Pack, inspect expanded inventory, then collect mine resources. Cut before the next 36-slot offer.","9pNkPSeCWB8@341+12.5 / 9pNkPSeCWB8@561+7","game -23 LUFS; commentary -31 LUFS","Wanderlust continuous + overlap -3dB","rendered-human-review-pending"
"04","02:34.700","03:02.467","channel-explanation","얻었으면, 달라져야 한다","original Motion Canvas animated 2.5D diorama","off","Wanderlust continuous","rendered-human-review-pending"
"05","03:02.467","03:21.967","real-example","경험치 바가 다음 선택으로 이어질 때","hJRhnC2jIPE@22+19.5","game -23 LUFS; commentary -31 LUFS","Wanderlust continuous + overlap -3dB","rendered-human-review-pending"
"05","03:21.967","03:53.833","channel-explanation","경험치 바가 다음 선택으로 이어질 때","original Motion Canvas animated 2.5D diorama","off","Wanderlust continuous","rendered-human-review-pending"
"06","03:53.833","04:13.333","real-example","모든 보상을 화면에 붙일 필요는 없다","hJRhnC2jIPE@88+10 / 9pNkPSeCWB8@359+9.5","game -23 LUFS; commentary -31 LUFS","Wanderlust continuous + overlap -3dB","rendered-human-review-pending"
"06","04:13.333","04:40.867","channel-explanation","모든 보상을 화면에 붙일 필요는 없다","original Motion Canvas animated 2.5D diorama","off","Wanderlust continuous","rendered-human-review-pending"
"07","04:40.867","05:00.367","real-example","Monster Hunter Wilds armor forging: required materials/owned counts, followed by hunting. Separate saves and different equipment, not a claimed hunt-to-drop sequence.","Qn4P0dzOFno@2340+9.5 / 3BQZCXZX5e8@750+10","game -23 LUFS; commentary -31 LUFS","Wanderlust continuous + overlap -3dB","rendered-human-review-pending"
"07","05:00.367","05:24.400","channel-explanation","하나 남았다고, 한 번이면 끝일까?","original Motion Canvas animated 2.5D diorama","off","Wanderlust continuous","rendered-human-review-pending"
"08","05:24.400","05:43.900","real-example","보상은 다음 플레이를 위한 약속","9pNkPSeCWB8@492+8 / 9pNkPSeCWB8@623+11.5","game -23 LUFS; commentary -31 LUFS","Wanderlust continuous + overlap -3dB","rendered-human-review-pending"
"08","05:43.900","06:15.767","channel-explanation","보상은 다음 플레이를 위한 약속","original Motion Canvas animated 2.5D diorama","off","Wanderlust continuous","rendered-human-review-pending"
